username,latitude,longitude,noise_value,timestamp,tolerance_level,noise_category,region_category,aqi_value
Abhimanyu,22.49160833,88.384865,55.7,23-01-2018 02:18,Normal,Traffic,Street/Road,0
Abhimanyu,22.491585,88.38474667,58.8,23-01-2018 02:18,Normal,Traffic,Street/Road,0
Abhimanyu,22.49157333,88.38461667,62.2,23-01-2018 02:18,Normal,Traffic,Street/Road,0
Abhimanyu,22.49157667,88.38462,58.3,23-01-2018 02:18,Normal,Traffic,Street/Road,0
Abhimanyu,22.49157833,88.38461667,64.3,23-01-2018 02:18,Normal,Traffic,Street/Road,0
Abhimanyu,22.491565,88.38451667,59.5,23-01-2018 02:18,Normal,Traffic,Street/Road,0
Abhimanyu,22.49161833,88.38439,54.9,23-01-2018 02:18,Normal,Traffic,Street/Road,0
Abhimanyu,22.491635,88.384355,59.6,23-01-2018 02:18,Normal,Traffic,Street/Road,0
Abhimanyu,22.49163333,88.38434333,61.2,23-01-2018 02:19,Normal,Traffic,Street/Road,0
Abhimanyu,22.49164,88.38427333,62.9,23-01-2018 02:19,Normal,Traffic,Street/Road,0
Abhimanyu,22.491645,88.38413833,58.3,23-01-2018 02:19,Normal,Traffic,Street/Road,0
Abhimanyu,22.49159,88.38400333,57.1,23-01-2018 02:19,Normal,Traffic,Street/Road,0
Abhimanyu,22.49161167,88.38391667,60,23-01-2018 02:19,Normal,Traffic,Street/Road,0
Abhimanyu,22.491635,88.3839,63,23-01-2018 02:19,Normal,Traffic,Street/Road,0
Abhimanyu,22.49163,88.38391167,57.8,23-01-2018 02:19,Normal,Traffic,Street/Road,0
Abhimanyu,22.49162667,88.38390667,57.4,23-01-2018 02:19,Normal,Traffic,Street/Road,0
Abhimanyu,22.49161167,88.38382667,61.2,23-01-2018 02:19,Normal,Traffic,Street/Road,0
Abhimanyu,22.49160667,88.38368667,62.9,23-01-2018 02:19,Normal,Traffic,Street/Road,0
Abhimanyu,22.49164167,88.38354,59.3,23-01-2018 02:19,Normal,Traffic,Street/Road,0
Abhimanyu,22.49164167,88.38338833,60,23-01-2018 02:19,Normal,Traffic,Street/Road,0
Abhimanyu,22.49167167,88.38328833,57.8,23-01-2018 02:20,Normal,Traffic,Street/Road,0
Abhimanyu,22.49166833,88.38324167,61.9,23-01-2018 02:20,Normal,Traffic,Street/Road,0
Abhimanyu,22.491665,88.38319833,56.7,23-01-2018 02:20,Normal,Traffic,Street/Road,0
Abhimanyu,22.49167,88.38319,62.1,23-01-2018 02:20,Normal,Traffic,Street/Road,0
Abhimanyu,22.491695,88.38319,63.7,23-01-2018 02:20,Normal,Traffic,Street/Road,0
Abhimanyu,22.49171333,88.38319833,63.3,23-01-2018 02:20,Normal,Traffic,Street/Road,0
Abhimanyu,22.49172667,88.38318,64.5,23-01-2018 02:20,Normal,Traffic,Street/Road,0
Abhimanyu,22.491765,88.383095,67.4,23-01-2018 02:20,Normal,Traffic,Street/Road,0
Abhimanyu,22.49178833,88.38294167,69.9,23-01-2018 02:20,Normal,Traffic,Street/Road,0
